onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
314.33655	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
317.86957	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
321.9312	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
326.31348	0.00040999999998803105	trials	electrical	biphasic	70	MOs	deep	awake	True	True
330.48309	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
334.17396	0.00040000000007012204	trials	electrical	biphasic	70	MOs	deep	awake	True	True
338.0433	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
342.00445	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	True	True
346.4865200000001	0.0003999999998995918	trials	electrical	biphasic	20	MOs	deep	awake	True	True
350.14334	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	True	True
354.49929	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
358.64448	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
362.52119	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
366.21253	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	True	True
370.14122	0.00040000000012696546	trials	electrical	biphasic	40	MOs	deep	awake	True	True
374.12366	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
377.74471	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
381.83463	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
385.56124	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
389.44628	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
393.52969	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	True	True
397.28192	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
401.07278	0.0003999999999564352	trials	electrical	biphasic	40	MOs	deep	awake	True	True
405.19031	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
408.95601	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
413.28082	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
417.76391	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
421.99458	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
425.8388900000001	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	True	True
