onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
356.66166	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
360.19468	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	True	True
364.25631	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
368.63859	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
372.8082	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
376.49906	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
380.36841	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
384.32955	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
388.81162	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
392.46844	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
396.82439	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
400.96957	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
404.84627	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
408.53762	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
412.4663	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
416.44875	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
420.06979	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
424.15971	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
427.88632	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
431.77136	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
435.85476	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
439.60699	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
443.39785	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
