onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
85.61524	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
89.29276	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
93.45599	0.0006000000000057071	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
97.28723	0.0006000000000057071	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
101.68613	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
105.30471	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
109.79356	0.0006000000000057071	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
113.83396	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
118.0413	0.0006100000000088812	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
122.54123	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
126.32949	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
130.24443	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
134.20969	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
138.47408	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
142.7927	0.0006100000000515138	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
146.39334	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
150.07188	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
153.93194	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
157.48906000000005	0.0006099999999378269	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
161.51136	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
165.34762	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
169.0237	0.0006100000000230921	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
172.73307	0.0005999999999914962	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
177.13865	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
181.31447	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
185.28335	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
189.69592	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
193.30036	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
197.54632	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
201.78301	0.0006100000000230921	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
205.84529	0.0005999999999914962	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
209.52991	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
213.62755	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
