onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
314.9794100000001	0.0003999999998995918	trials	electrical	biphasic	20	MOs	deep	awake	False	True
318.51243	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
322.57405	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
326.95634	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
331.12595	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
334.8168100000001	0.0003999999998995918	trials	electrical	biphasic	40	MOs	deep	awake	True	True
338.6861600000001	0.0003999999998995918	trials	electrical	biphasic	40	MOs	deep	awake	False	True
342.6473	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	True	True
347.12937	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	True	True
350.78619	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	True	True
355.14214	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	True	True
359.28733	0.0003999999998995918	trials	electrical	biphasic	40	MOs	deep	awake	True	True
363.16403	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	False	True
366.85537	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
370.78406	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
374.7665	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
378.38755	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
382.47747	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
386.20408	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
390.08912	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
394.17253	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
397.92475	0.0003999999999564352	trials	electrical	biphasic	10	MOs	deep	awake	False	True
401.71561	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	False	True
405.83314	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
409.59884	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
413.92365	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
418.40674	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
422.63741	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
426.48171	0.0003999999999564352	trials	electrical	biphasic	40	MOs	deep	awake	False	True
430.5662	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
434.17438	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
438.58111	0.0003999999999564352	trials	electrical	biphasic	10	MOs	deep	awake	False	True
442.96119	0.00040000000007012204	trials	electrical	biphasic	10	MOs	deep	awake	False	True
447.27938	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
451.04052	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
455.13531	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
458.65825	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
462.58394	0.00040000000007012204	trials	electrical	biphasic	20	MOs	deep	awake	False	True
466.39708	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	False	True
470.05898	0.0003999999999564352	trials	electrical	biphasic	20	MOs	deep	awake	False	True
473.73817	0.0003999999999564352	trials	electrical	biphasic	10	MOs	deep	awake	False	True
477.66147	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
481.25612	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
485.35506	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
489.32641	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
493.52277	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
497.72308	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
501.86205	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
505.39607	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
508.96529	0.00040000000007012204	trials	electrical	biphasic	10	MOs	deep	awake	False	True
512.78531	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
516.8166	0.0004000000000132786	trials	electrical	biphasic	20	MOs	deep	awake	False	True
520.9714700000002	0.00039999999978590495	trials	electrical	biphasic	20	MOs	deep	awake	False	True
524.87951	0.0004000000000132786	trials	electrical	biphasic	10	MOs	deep	awake	False	True
529.19992	0.0004000000000132786	trials	electrical	biphasic	40	MOs	deep	awake	False	True
