onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
477.89069000000006	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
481.42371	0.0003999999999564352	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
485.48534000000006	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
489.86763	0.0003999999999564352	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
494.03723	0.00040999999998803105	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
497.7281	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
501.59745	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
505.55859	0.00040000000012696546	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
510.04066	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
513.69749	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
518.05344	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
522.19863	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
526.07533	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
529.76668	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
533.6953599999998	0.00040000000012696546	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
537.6778099999998	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
541.29885	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
545.38878	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
549.11539	0.00040000000012696546	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
553.0004299999998	0.00040000000012696546	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
557.08384	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
560.8360700000002	0.00039999999978590495	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
564.62693	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
568.74446	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
572.51017	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
576.83497	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
581.31807	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
585.54873	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
589.39304	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
593.47753	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
597.08571	0.0004000000000132786	trials	electrical	biphasic	100	SSp	superficial	awake	False	True
