onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
365.22333	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
369.12771	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
372.80737	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
377.27672	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
381.1846	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
385.5295	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
389.64524	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
393.52228	0.0003999999999564352	trials	electrical	biphasic	90	MOs	superficial	awake	True	True
397.89988	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
402.18517	0.0003999999999564352	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
406.15055	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
410.46495	0.0004000000000132786	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
414.86381	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
418.79347	0.00040999999998803105	trials	electrical	biphasic	90	MOs	superficial	awake	True	True
422.62822	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
426.72528	0.0004000000000132786	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
431.1277	0.0004000000000132786	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
435.33018	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
439.20806	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
443.44345	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
447.89797	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
451.94121	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
455.98173	0.0003999999999564352	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
459.79327	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
463.36493	0.0003999999999564352	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
467.04733	0.0004000000000132786	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
470.64073	0.0003999999999564352	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
474.60463	0.0004000000000132786	trials	electrical	biphasic	90	MOs	superficial	awake	False	True
478.11439	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
482.52983	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
486.67299	0.0003999999999564352	trials	electrical	biphasic	90	MOs	superficial	awake	True	True
490.17483	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
493.70563	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
497.41453	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	False	True
501.36991	0.0004000000000132786	trials	electrical	biphasic	70	MOs	superficial	awake	True	True
504.99759	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
508.50665	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
512.73415	0.0004000000000132786	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
