onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
318.7727799999999	0.00040000000012696546	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
322.64213	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
326.60327	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
331.08534	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
334.74216	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
339.09811	0.00040000000007012204	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
343.24329	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
347.11999	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
350.81134	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
354.74002	0.00040000000012696546	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
358.72246	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
362.3435	0.00040999999998803105	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
366.43343	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
370.16003	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
374.04508	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
378.12848	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
381.8807	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
385.67156	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
389.78909	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
393.55479	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
397.8796	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
402.36268	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
406.59335	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
410.43765	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
414.52214	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
418.13032	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
422.53705	0.0003999999999564352	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
426.91713	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
431.23532	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
434.99646	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
439.09124	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
442.61419000000006	0.0003999999999564352	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
446.53987	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
450.35301	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
454.01491	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
457.6941	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
461.6174	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
465.21204000000006	0.0003999999999564352	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
469.31099000000006	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
473.28233	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
477.47869	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
481.679	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
485.81796	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
489.35199000000006	0.0003999999999564352	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
492.92121	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
496.74123	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
500.77251	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
504.92738	0.0003999999999564352	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
508.83542	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
513.15583	0.00039999999978590495	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
517.37461	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
521.84368	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
525.87544	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
529.70101	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
533.30705	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
537.41843	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
541.6976599999998	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
545.62154	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
549.21278	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
552.97969	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
556.63377	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
560.41519	0.00040000000012696546	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
564.35569	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
568.38326	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
572.3411	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
576.71691	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
580.73539	0.00040000000012696546	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
585.17944	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
589.31756	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
593.77569	0.00040000000012696546	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
597.51681	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
601.69336	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
605.48284	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
609.65507	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
613.85063	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
617.41905	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
621.17427	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
624.8987400000002	0.00039999999978590495	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
629.067	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	True	True
633.41183	0.0004000000000132786	trials	electrical	biphasic	70	SSp	superficial	awake	False	True
637.25671	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
641.53766	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
645.71342	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	True	True
649.22056	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
653.32317	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	False	True
657.21037	0.0004000000000132786	trials	electrical	biphasic	30	SSp	superficial	awake	False	True
661.6268	0.0004000000000132786	trials	electrical	biphasic	50	SSp	superficial	awake	True	True
