onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
379.02524	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
382.55827	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
386.61989	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	False
391.00218	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
395.17179	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
398.86265	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
402.732	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
406.69315	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
411.17522	0.0003999999999564352	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
414.83204	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
419.18799	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
423.33318	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
427.20988	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
430.90123	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
434.82991	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
438.81236	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
442.4334	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
446.52333	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
450.24993	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
454.13498	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
458.21839000000006	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
461.97061	0.0003999999999564352	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
465.76148	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
469.879	0.0003999999999564352	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
473.64471	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	True	True
477.9695200000001	0.0003999999998995918	trials	electrical	biphasic	80	SSp	superficial	awake	True	True
482.45261	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
486.68327	0.00040999999998803105	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
490.52758	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	True	True
494.61207	0.0003999999999564352	trials	electrical	biphasic	60	SSp	superficial	awake	True	True
498.22025	0.0003999999999564352	trials	electrical	biphasic	80	SSp	superficial	awake	True	True
502.62698	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	True	True
507.00707	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
511.32526	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
515.0864	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	True	True
519.18119	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
522.70413	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
526.62982	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
530.44296	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
534.10487	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
537.78405	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
541.70736	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
545.302	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
549.40095	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
553.3723	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
557.5686599999998	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
561.76897	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
565.90794	0.00040000000012696546	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
569.44196	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
573.01119	0.00040000000012696546	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
576.8312099999998	0.00040000000012696546	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
580.8625	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
585.01737	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
588.9254099999998	0.00040000000012696546	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
593.24582	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
597.46461	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
601.93368	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
605.9654400000002	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
609.7910099999998	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
613.39705	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	False	True
617.5084400000002	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
621.78767	0.00040000000012696546	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
625.71155	0.0004000000000132786	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
629.3028	0.0003999999998995918	trials	electrical	biphasic	60	SSp	superficial	awake	False	True
633.0697	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	True	True
636.72379	0.0004000000000132786	trials	electrical	biphasic	40	SSp	superficial	awake	True	True
640.5052099999998	0.0004000000000132786	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
644.44572	0.00040000000012696546	trials	electrical	biphasic	80	SSp	superficial	awake	False	True
