onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
319.8583799999999	0.00040000000012696546	trials	electrical	biphasic	80	SSp	deep	awake	False	True
323.3914	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
327.4530200000001	0.0003999999998995918	trials	electrical	biphasic	80	SSp	deep	awake	True	True
331.8353	0.0003999999999564352	trials	electrical	biphasic	100	SSp	deep	awake	False	True
336.0049	0.0003999999999564352	trials	electrical	biphasic	100	SSp	deep	awake	False	True
339.69575	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
343.56509	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
347.52623	0.00039999999984274837	trials	electrical	biphasic	60	SSp	deep	awake	False	True
352.00829	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
355.6651	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
360.02104	0.0003999999999564352	trials	electrical	biphasic	100	SSp	deep	awake	False	True
364.16622	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
368.04292	0.0004000000000132786	trials	electrical	biphasic	80	SSp	deep	awake	False	True
371.73425	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
375.66293	0.0003999999999564352	trials	electrical	biphasic	80	SSp	deep	awake	False	True
379.64537	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
383.2664	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
387.35632	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
391.08292	0.0004000000000132786	trials	electrical	biphasic	80	SSp	deep	awake	False	True
394.96795	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
399.05135	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	False	True
402.80357	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
406.59443	0.0004000000000132786	trials	electrical	biphasic	80	SSp	deep	awake	False	True
410.71194	0.0003999999999564352	trials	electrical	biphasic	60	SSp	deep	awake	False	True
414.47764	0.0004000000000132786	trials	electrical	biphasic	80	SSp	deep	awake	False	True
418.80244	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	True	True
423.28552	0.0003999999999564352	trials	electrical	biphasic	60	SSp	deep	awake	False	True
427.51618	0.0003999999999564352	trials	electrical	biphasic	80	SSp	deep	awake	True	True
431.36047	0.0003999999999564352	trials	electrical	biphasic	100	SSp	deep	awake	True	True
435.44495	0.0004000000000132786	trials	electrical	biphasic	80	SSp	deep	awake	True	True
439.05313	0.0004000000000132786	trials	electrical	biphasic	100	SSp	deep	awake	True	True
443.45985	0.0003999999999564352	trials	electrical	biphasic	60	SSp	deep	awake	True	True
447.83993	0.0004000000000132786	trials	electrical	biphasic	60	SSp	deep	awake	False	True
