onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
82.58399	0.00039999999999906777	trials	electrical	biphasic	70	MOs	deep	awake	False	True
86.48836999999996	0.00040000000004170033	trials	electrical	biphasic	50	MOs	deep	awake	True	True
90.16804	0.00039999999999906777	trials	electrical	biphasic	50	MOs	deep	awake	True	True
94.63739	0.00039999999999906777	trials	electrical	biphasic	50	MOs	deep	awake	True	True
98.54527	0.00039999999999906777	trials	electrical	biphasic	50	MOs	deep	awake	True	True
102.89018	0.00039999999999906777	trials	electrical	biphasic	70	MOs	deep	awake	True	True
107.00593	0.00039999999999906777	trials	electrical	biphasic	70	MOs	deep	awake	True	True
110.88297	0.00039999999999906777	trials	electrical	biphasic	90	MOs	deep	awake	False	True
115.26058	0.00039999999999906777	trials	electrical	biphasic	50	MOs	deep	awake	False	True
119.54587	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
123.51125	0.00039999999999906777	trials	electrical	biphasic	50	MOs	deep	awake	False	True
127.82566	0.00039999999999906777	trials	electrical	biphasic	90	MOs	deep	awake	False	True
132.22453000000002	0.0003999999999848569	trials	electrical	biphasic	50	MOs	deep	awake	False	True
136.15419	0.0003999999999848569	trials	electrical	biphasic	90	MOs	deep	awake	False	True
139.98894	0.0003999999999848569	trials	electrical	biphasic	70	MOs	deep	awake	False	True
144.08601000000004	0.0003999999999564352	trials	electrical	biphasic	90	MOs	deep	awake	False	True
148.48843	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	False	True
152.69092	0.0003999999999848569	trials	electrical	biphasic	50	MOs	deep	awake	False	True
156.56881	0.0003999999999848569	trials	electrical	biphasic	50	MOs	deep	awake	False	True
160.80418999999995	0.00040000000004170033	trials	electrical	biphasic	70	MOs	deep	awake	False	True
165.25871999999995	0.00040000000004170033	trials	electrical	biphasic	70	MOs	deep	awake	False	True
169.30196999999995	0.00040000000004170033	trials	electrical	biphasic	70	MOs	deep	awake	False	True
173.3425	0.0003999999999848569	trials	electrical	biphasic	90	MOs	deep	awake	True	True
177.15403999999995	0.00040000000004170033	trials	electrical	biphasic	70	MOs	deep	awake	True	True
180.7257	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
184.40811	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
188.00151	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
191.96542	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
195.47518	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
199.89063	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
204.03379	0.0003999999999848569	trials	electrical	biphasic	90	MOs	deep	awake	True	True
207.53564	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
211.06644	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
214.77534	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
218.73073	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
222.35841	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	False	True
225.86747000000005	0.0003999999999564352	trials	electrical	biphasic	50	MOs	deep	awake	False	True
230.09498	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	False	True
233.94953	0.0003999999999848569	trials	electrical	biphasic	90	MOs	deep	awake	False	True
238.23039	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
242.16748	0.0003999999999848569	trials	electrical	biphasic	50	MOs	deep	awake	True	True
246.10446	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
249.65411	0.0003999999999848569	trials	electrical	biphasic	70	MOs	deep	awake	True	True
253.20417	0.0003999999999848569	trials	electrical	biphasic	50	MOs	deep	awake	True	True
256.79569	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
260.89016000000004	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	True	True
264.63166	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
268.97345	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
273.3311	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
277.79515	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	False	True
281.78447	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	False	True
285.50522	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	False	True
289.23184	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	False	True
293.26905	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	False	True
297.5316	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
301.37958	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
305.34125	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
309.48099	0.0003999999999564352	trials	electrical	biphasic	90	MOs	deep	awake	True	True
313.89876	0.0004000000000132786	trials	electrical	biphasic	90	MOs	deep	awake	True	True
317.56076	0.00040000000007012204	trials	electrical	biphasic	50	MOs	deep	awake	True	True
321.77683	0.0003999999999564352	trials	electrical	biphasic	70	MOs	deep	awake	False	True
325.855	0.0003999999999564352	trials	electrical	biphasic	50	MOs	deep	awake	False	True
329.78872	0.0004000000000132786	trials	electrical	biphasic	50	MOs	deep	awake	True	True
334.17339	0.0004000000000132786	trials	electrical	biphasic	70	MOs	deep	awake	True	True
338.06688	0.0003999999999564352	trials	electrical	biphasic	50	MOs	deep	awake	True	True
