onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
134.81231	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
138.40947	0.0005999999999914962	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
142.72804	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
147.04601	0.0006000000000483396	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
151.26887	0.0006100000000515138	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
154.91916	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
159.07918	0.0006099999999946704	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
163.09821000000005	0.0005999999999346528	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
167.57162	0.0005999999999914962	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
171.72105	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
176.02181000000004	0.0006099999999094052	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
179.97603999999995	0.0006000000000483396	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
183.90886	0.0006099999999946704	trials	electrical	biphasic	20	MOs	superficial	awake	True	True
188.23461	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
191.81851	0.0006099999999946704	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
195.45212	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
199.12592	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
203.01729	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
207.34909	0.0006100000000230921	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
211.65288	0.0005999999999914962	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
215.21378	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
219.11347	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
223.14078	0.0005999999999914962	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
227.058	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
231.21529	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
235.34369	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
239.1361	0.0005999999999914962	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
243.06818	0.0005999999999914962	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
246.58409	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
251.06857	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
254.73616	0.0005999999999914962	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
258.3428	0.0006099999999946704	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
262.21565	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
265.91419	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
269.9043	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
273.74422000000004	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
278.19629	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
282.6170600000001	0.0005999999999062311	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
286.17016	0.0006000000000767614	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
290.40845	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
294.17799	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
298.10126	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
302.14956	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
306.59273	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
310.5109	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
314.99438	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
318.79627	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
322.9978	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
327.16456	0.0006100000001083572	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
331.20411	0.0006000000000767614	trials	electrical	biphasic	20	MOs	superficial	awake	True	True
335.40264	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
339.56958	0.0006100000000515138	trials	electrical	biphasic	50	MOs	superficial	awake	True	True
343.24815	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
346.87659	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
351.3761	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
355.04764	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
358.58066	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
362.64229	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
367.02458	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
371.19419	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
374.88505	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
378.75439	0.0006099999999946704	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
382.71554	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
387.19761	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
390.85443	0.0006099999999946704	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
395.21038	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
399.35557	0.0006000000000199179	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
403.23227	0.0006099999999946704	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
406.92362	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
410.8523	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
414.83475	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
418.45579	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
422.54572	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
426.27232	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
430.15736	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
434.24077	0.0006000000000199179	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
437.99299	0.0006099999999946704	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
441.78386	0.0006000000000199179	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
445.9013900000001	0.0005999999999062311	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
449.66709	0.0006000000001336048	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
