participant_id	species	sex	strain
sub-521885	Mus musculus	M	C57BL/6J
sub-521886	Mus musculus	M	C57BL/6J
sub-521887	Mus musculus	F	C57BL/6J
sub-543393	Mus musculus	M	C57BL/6J
sub-543394	Mus musculus	M	C57BL/6J
sub-546655	Mus musculus	F	C57BL/6J
sub-551397	Mus musculus	M	C57BL/6J
sub-551399	Mus musculus	F	C57BL/6J
sub-569062	Mus musculus	F	C57BL/6J
sub-569064	Mus musculus	F	C57BL/6J
sub-569068	Mus musculus	M	C57BL/6J
sub-569069	Mus musculus	M	C57BL/6J
sub-569070	Mus musculus	M	C57BL/6J
sub-569072	Mus musculus	M	C57BL/6J
sub-569073	Mus musculus	M	C57BL/6J
sub-571619	Mus musculus	M	C57BL/6J
sub-571620	Mus musculus	F	C57BL/6J
sub-575102	Mus musculus	F	C57BL/6J
sub-586466	Mus musculus	M	C57BL/6J
sub-586468	Mus musculus	F	C57BL/6J
sub-590479	Mus musculus	M	C57BL/6J
sub-590480	Mus musculus	F	C57BL/6J
sub-599017	Mus musculus	F	C57BL/6J
